iter	Passed	Remaining
860	504	2423
861	504	2422
862	505	2423
863	506	2422
864	506	2421
865	507	2421
866	507	2420
867	508	2419
868	508	2418
869	509	2418
870	509	2417
871	510	2416
872	511	2415
873	511	2415
874	512	2414
875	512	2413
876	513	2412
877	513	2411
878	514	2410
879	514	2410
880	515	2409
881	515	2408
882	516	2407
883	516	2407
884	517	2406
885	518	2405
886	518	2404
887	519	2404
888	519	2403
889	520	2402
890	520	2401
891	521	2401
892	521	2400
893	522	2399
894	523	2399
895	523	2398
896	524	2397
897	524	2396
898	525	2395
899	525	2395
900	526	2394
901	526	2393
902	527	2392
903	527	2392
904	528	2391
905	529	2390
906	529	2389
907	530	2388
908	530	2388
909	531	2387
910	531	2386
911	532	2386
912	532	2385
913	533	2384
914	533	2383
915	534	2383
916	535	2382
917	535	2381
918	536	2380
919	536	2380
920	537	2379
921	537	2378
922	538	2377
923	538	2377
924	539	2376
925	539	2375
926	540	2374
927	541	2374
928	541	2373
929	542	2372
930	542	2372
931	543	2371
932	543	2370
933	544	2369
934	544	2368
935	545	2368
936	545	2367
937	546	2366
938	547	2365
939	547	2365
940	548	2364
941	548	2363
942	549	2363
943	549	2362
944	550	2361
945	550	2361
946	551	2360
947	552	2359
948	552	2358
949	553	2358
950	553	2357
951	554	2356
952	554	2355
953	555	2355
954	555	2354
955	556	2353
956	556	2352
957	557	2352
958	558	2351
959	558	2350
960	559	2349
961	559	2349
962	560	2348
963	560	2347
964	561	2347
965	561	2346
966	562	2345
967	562	2344
968	563	2344
969	564	2343
970	564	2342
971	565	2341
972	565	2341
973	566	2340
974	566	2339
975	567	2339
976	567	2338
977	568	2337
978	568	2336
979	569	2336
980	570	2335
981	570	2334
982	571	2333
983	571	2333
984	572	2332
985	572	2331
986	573	2331
987	573	2330
988	574	2330
989	575	2329
990	575	2328
991	576	2328
992	576	2327
993	577	2326
994	577	2325
995	578	2325
996	578	2324
997	579	2323
998	579	2322
999	580	2322
1000	581	2321
1001	581	2320
1002	582	2319
1003	582	2319
1004	583	2318
1005	583	2317
1006	584	2317
1007	584	2316
1008	585	2315
1009	586	2314
1010	586	2314
1011	587	2313
1012	587	2312
1013	588	2312
1014	588	2311
1015	589	2310
1016	589	2309
1017	590	2309
1018	590	2308
1019	591	2307
1020	591	2307
1021	592	2306
1022	593	2305
1023	593	2304
1024	594	2305
1025	594	2304
1026	595	2303
1027	595	2302
1028	596	2302
1029	597	2301
1030	597	2300
1031	598	2299
1032	598	2299
1033	599	2298
1034	599	2297
1035	600	2297
1036	600	2296
1037	601	2295
1038	602	2295
1039	602	2294
1040	603	2293
1041	603	2293
1042	604	2292
1043	604	2291
1044	605	2290
1045	605	2290
1046	606	2289
1047	606	2288
1048	607	2288
1049	608	2287
1050	608	2286
1051	609	2285
1052	609	2285
1053	610	2284
1054	610	2283
1055	611	2282
1056	611	2281
1057	612	2281
1058	612	2280
1059	613	2279
1060	613	2278
1061	614	2278
1062	614	2277
1063	615	2276
1064	616	2276
1065	616	2275
1066	617	2274
1067	617	2273
1068	618	2273
1069	618	2272
1070	619	2271
1071	619	2271
1072	620	2270
1073	620	2269
1074	621	2269
1075	621	2268
1076	622	2267
1077	623	2266
1078	623	2266
1079	624	2265
1080	624	2264
1081	625	2264
1082	625	2263
1083	626	2262
1084	626	2261
1085	627	2261
1086	627	2260
1087	628	2260
1088	629	2259
1089	629	2258
1090	630	2258
1091	630	2257
1092	631	2256
1093	631	2256
1094	632	2255
1095	633	2254
1096	633	2254
1097	634	2253
1098	634	2252
1099	635	2252
1100	635	2251
1101	636	2250
1102	636	2250
1103	637	2249
1104	637	2248
1105	638	2248
1106	639	2247
1107	639	2246
1108	640	2246
1109	640	2245
1110	641	2244
1111	641	2244
1112	642	2243
1113	642	2242
1114	643	2242
1115	644	2241
1116	644	2240
1117	645	2239
1118	645	2239
1119	646	2238
1120	646	2237
1121	647	2237
1122	647	2236
1123	648	2235
1124	648	2235
1125	649	2234
1126	649	2233
1127	650	2232
1128	651	2232
1129	651	2231
1130	652	2230
1131	652	2229
1132	653	2229
1133	653	2228
1134	654	2227
1135	654	2227
1136	655	2226
1137	655	2225
1138	656	2225
1139	656	2224
1140	657	2223
1141	658	2223
1142	658	2222
1143	659	2221
1144	659	2220
1145	660	2220
1146	660	2219
1147	661	2218
1148	661	2218
1149	662	2217
1150	662	2216
1151	663	2216
1152	663	2215
1153	664	2214
1154	665	2214
1155	665	2213
1156	666	2212
1157	666	2212
1158	667	2211
1159	667	2210
1160	668	2210
1161	668	2209
1162	669	2208
1163	669	2207
1164	670	2207
1165	671	2206
1166	671	2206
1167	672	2205
1168	672	2204
1169	673	2204
1170	673	2203
1171	674	2203
1172	675	2202
1173	675	2201
1174	676	2201
1175	676	2200
1176	677	2199
1177	677	2199
1178	678	2198
1179	678	2197
1180	679	2197
1181	680	2196
1182	680	2195
1183	681	2195
1184	681	2194
1185	682	2193
1186	682	2193
1187	683	2192
1188	683	2192
1189	684	2191
1190	684	2190
1191	685	2190
1192	686	2189
1193	686	2189
1194	687	2188
1195	687	2187
1196	688	2187
1197	688	2186
1198	689	2185
1199	689	2184
1200	690	2184
1201	691	2183
1202	691	2183
1203	692	2183
1204	692	2182
1205	693	2181
1206	694	2181
1207	694	2180
1208	695	2179
1209	695	2179
1210	696	2178
1211	696	2177
1212	697	2177
1213	698	2177
1214	698	2176
1215	699	2176
1216	699	2175
1217	700	2174
1218	701	2174
1219	701	2173
1220	702	2173
1221	702	2172
1222	703	2171
1223	703	2171
1224	704	2170
1225	704	2169
1226	705	2169
1227	705	2168
1228	706	2167
1229	707	2166
1230	707	2166
1231	708	2165
1232	708	2164
1233	709	2164
1234	709	2163
1235	710	2163
1236	710	2162
1237	711	2161
1238	711	2161
1239	712	2160
1240	713	2159
1241	713	2159
1242	714	2158
1243	714	2157
1244	715	2157
1245	715	2156
1246	716	2155
1247	716	2155
1248	717	2154
1249	718	2154
1250	718	2153
1251	719	2152
1252	719	2152
1253	720	2152
1254	721	2152
1255	722	2152
1256	722	2152
1257	723	2152
1258	724	2152
1259	725	2152
1260	725	2152
1261	726	2152
1262	727	2152
1263	728	2151
1264	728	2151
1265	729	2151
1266	730	2151
1267	730	2151
1268	731	2151
1269	732	2150
1270	733	2151
1271	733	2151
1272	734	2151
1273	735	2150
1274	736	2150
1275	736	2150
1276	737	2150
1277	738	2150
1278	738	2149
1279	739	2149
1280	740	2149
1281	741	2150
1282	742	2150
1283	742	2149
1284	743	2149
1285	744	2149
1286	744	2149
1287	745	2149
1288	746	2148
1289	747	2148
1290	747	2148
1291	748	2148
1292	749	2148
1293	749	2147
1294	750	2147
1295	751	2147
1296	752	2147
1297	752	2147
1298	753	2146
1299	754	2146
1300	754	2146
1301	755	2146
1302	756	2146
1303	757	2145
1304	757	2145
1305	758	2145
1306	759	2145
1307	760	2145
1308	760	2145
1309	761	2145
1310	762	2145
1311	763	2144
1312	763	2144
1313	764	2144
1314	765	2144
1315	765	2144
1316	766	2143
1317	767	2143
1318	768	2143
1319	768	2143
1320	769	2142
1321	770	2142
1322	770	2142
1323	771	2142
1324	772	2141
1325	772	2141
1326	773	2141
1327	774	2142
1328	775	2142
1329	776	2142
1330	777	2142
1331	778	2144
1332	780	2146
1333	782	2149
1334	783	2150
1335	784	2152
1336	786	2155
1337	788	2156
1338	790	2160
1339	791	2162
1340	794	2167
1341	799	2178
1342	801	2182
1343	802	2183
1344	804	2185
1345	805	2187
1346	807	2191
1347	809	2193
1348	811	2195
1349	812	2197
1350	814	2199
1351	816	2203
1352	818	2206
1353	820	2208
1354	820	2208
1355	821	2208
1356	823	2209
1357	825	2213
1358	827	2216
1359	828	2217
1360	829	2217
1361	831	2220
1362	833	2223
1363	835	2227
1364	837	2230
1365	838	2230
1366	840	2234
1367	842	2236
1368	843	2237
1369	844	2237
1370	845	2237
1371	847	2240
1372	849	2244
1373	850	2243
1374	851	2243
1375	852	2246
1376	854	2248
1377	856	2250
1378	856	2250
1379	858	2251
1380	860	2254
1381	861	2255
1382	863	2257
1383	865	2260
1384	866	2260
1385	866	2260
1386	867	2260
1387	868	2259
1388	869	2259
1389	870	2259
1390	870	2259
1391	871	2258
1392	872	2258
1393	872	2258
1394	873	2257
1395	874	2257
1396	875	2257
1397	876	2257
1398	876	2256
1399	877	2256
1400	878	2256
1401	879	2255
1402	879	2255
1403	880	2255
1404	881	2254
1405	881	2254
1406	882	2253
1407	884	2255
1408	885	2256
1409	886	2257
1410	887	2257
1411	888	2256
1412	888	2256
1413	889	2255
1414	890	2255
1415	891	2255
1416	891	2255
1417	892	2255
1418	893	2254
1419	894	2254
1420	894	2253
1421	895	2253
1422	896	2252
1423	896	2252
1424	897	2252
1425	898	2251
1426	899	2251
1427	899	2250
1428	900	2250
1429	901	2249
1430	901	2249
1431	902	2249
1432	903	2248
1433	904	2248
1434	905	2248
1435	905	2248
1436	906	2247
1437	907	2247
1438	908	2246
1439	908	2246
1440	909	2246
1441	910	2245
1442	910	2245
1443	911	2244
1444	912	2244
1445	913	2244
1446	915	2247
1447	915	2246
1448	916	2246
1449	917	2245
1450	918	2245
1451	918	2245
1452	919	2244
1453	920	2244
1454	920	2243
1455	921	2243
1456	922	2243
1457	923	2242
1458	923	2242
1459	924	2241
1460	925	2241
1461	925	2240
1462	926	2240
1463	927	2240
1464	928	2239
1465	928	2239
1466	929	2238
1467	930	2238
1468	930	2237
1469	931	2237
1470	932	2236
1471	933	2236
1472	933	2236
1473	934	2235
1474	935	2235
1475	936	2234
1476	936	2234
1477	937	2234
1478	938	2233
1479	939	2233
1480	939	2232
1481	940	2232
1482	941	2231
1483	941	2231
1484	942	2231
1485	943	2230
1486	944	2230
1487	945	2231
1488	946	2230
1489	946	2230
1490	947	2229
1491	948	2229
1492	948	2228
1493	949	2228
1494	950	2227
1495	950	2227
1496	951	2227
1497	952	2226
1498	953	2226
1499	953	2225
1500	954	2225
1501	955	2224
1502	955	2224
1503	956	2223
1504	957	2223
1505	958	2222
1506	958	2222
1507	959	2221
1508	960	2221
1509	960	2221
1510	961	2220
1511	962	2220
1512	963	2219
1513	964	2221
1514	966	2222
1515	967	2224
1516	968	2223
1517	969	2223
1518	970	2223
1519	970	2222
1520	971	2222
1521	972	2221
1522	972	2221
1523	973	2220
1524	974	2220
1525	975	2219
1526	975	2219
1527	977	2220
1528	977	2219
1529	978	2219
1530	979	2218
1531	979	2218
1532	980	2217
1533	981	2217
1534	982	2216
1535	982	2216
1536	983	2215
1537	984	2215
1538	984	2215
1539	985	2214
1540	986	2214
1541	987	2213
1542	987	2213
1543	988	2212
1544	989	2212
1545	990	2211
1546	990	2211
1547	991	2211
1548	992	2211
1549	993	2210
1550	993	2210
1551	994	2209
1552	995	2208
1553	995	2208
1554	996	2208
1555	997	2207
1556	998	2207
1557	998	2206
1558	999	2206
1559	1000	2205
1560	1000	2205
1561	1001	2204
1562	1002	2204
1563	1003	2203
1564	1003	2203
1565	1004	2202
1566	1005	2202
1567	1006	2201
1568	1006	2201
1569	1007	2200
1570	1008	2200
